TimeStamp,V10_0,V10_1,V10_2,V10_3,V10_4,V10_5,V50_0,V50_1,V50_2,V50_3,V50_4,V50_5,V100_0,V100_1,V100_2,V100_3,V100_4,V100_5,V200_0,V200_1,V200_2,V200_3,V200_4,V200_5,V250_0,V250_1,V250_2,V250_3,V250_4,V250_5
49,0.000141732,-0.942741769,-0.74345622,-0.273366926,0.000320786,4.22E-13,-7.02E-20,-0.732152089,-0.933658791,-0.273302323,0.000518506,0,0.006898781,-0.342299676,-0.85366891,-0.262100038,0.003194534,8.57E-09,-2.62E-17,0.058764751,-0.79449649,-0.272950071,0.003654285,0,0.002016523,0.201853619,-0.750551391,-0.313223956,0.001892937,0.044326075
50,0.000142417,-0.94279941,-0.747192464,-0.2733657,0.000322352,4.22E-13,-7.02E-20,-0.732152089,-0.933658791,-0.273302323,0.000518506,0,0.005345012,-0.284885944,-0.843587392,-0.262214987,0.003414001,6.10E-09,-2.62E-17,0.058764751,-0.79449649,-0.272950071,0.003654285,0,0.005675463,0.451139088,-0.673877268,-0.383919405,-0.001203084,0.122586763
51,0.000143096,-0.942832714,-0.750898473,-0.27336447,0.000323918,4.22E-13,-7.02E-20,-0.732152089,-0.933658791,-0.273302323,0.000518506,0,0.012066915,-0.026505096,-0.830447153,-0.297141123,0.001113944,0.069276349,-2.62E-17,0.058764751,-0.79449649,-0.272950071,0.003654285,0,0.011791837,0.815973056,-0.559375922,-0.487461669,-0.005725339,0.239815428
52,0.000143768,-0.942841571,-0.754574067,-0.273363236,0.000325484,4.21E-13,-7.02E-20,-0.732152089,-0.933658791,-0.273302323,0.000518506,0,0.010288315,0.021234393,-0.826025621,-0.299530241,0.001095344,0.069276347,0.000255401,0.0770035,-0.788889033,-0.278067058,0.003430683,0.005628708,0.012579613,0.67801909,-0.594608813,-0.451767211,-0.00412877,0.20782921
53,0.000144435,-0.942825869,-0.758219066,-0.273361998,0.00032705,4.21E-13,-2.48E-06,-0.732185716,-0.933661594,-0.273298307,0.000518802,-1.08E-05,0.009104119,0.064406309,-0.821473236,-0.301663248,0.001080354,0.069276345,0.001624896,0.173965451,-0.759133606,-0.305405864,0.002234468,0.035720646,0.016982676,0.626221605,-0.600263536,-0.442363172,-0.003690426,0.207829207
54,0.000145095,-0.942785499,-0.761833293,-0.273360757,0.000328615,4.21E-13,-0.000832182,-0.743427733,-0.934598792,-0.27195285,0.000618085,-0.003637009,0.008390665,0.103039779,-0.816941079,-0.303546425,0.001069005,0.069276345,0.004235659,0.352141112,-0.704459722,-0.35609993,1.21E-05,0.091791236,0.024855392,0.55772498,-0.605622748,-0.430220794,-0.003125954,0.207829206
55,0.00014575,-0.942720352,-0.765416572,-0.273359511,0.000330181,4.20E-13,-0.003144578,-0.774569349,-0.937191004,-0.268195205,0.000896326,-0.013757851,0.008035507,0.137187103,-0.812564282,-0.305188254,0.001061025,0.069276344,0.008395426,0.606720361,-0.625300997,-0.428988943,-0.003181524,0.173840477,0.03764947,0.47309713,-0.608771748,-0.415781042,-0.002462059,0.207829209
56,0.000146398,-0.942630319,-0.768968728,-0.273358262,0.000331747,4.20E-13,-0.006912147,-0.824934157,-0.941343427,-0.262006037,0.001357786,-0.030373352,0.007938857,0.16691529,-0.808462211,-0.306598473,0.001055943,0.069276345,0.007759801,0.468302816,-0.665653177,-0.39385267,-0.001656317,0.138552807,0.056787893,0.373298495,-0.607255002,-0.399737953,-0.001744944,0.207829218
57,0.000147039,-0.942515296,-0.772489588,-0.27335701,0.000333313,4.19E-13,-0.007757111,-0.834856711,-0.941970092,-0.260331167,0.001495606,-0.034638178,0.008014225,0.192298696,-0.804738704,-0.307787267,0.001053177,0.069276345,0.009551412,0.433064627,-0.673248731,-0.389429669,-0.001488427,0.138552806,0.083336597,0.259835791,-0.598074103,-0.383111099,-0.001047778,0.207829237
58,0.000147674,-0.942375177,-0.775978981,-0.273355754,0.000334879,4.19E-13,-0.00755735,-0.828985979,-0.941173184,-0.260188067,0.0015311,-0.034638177,0.008188502,0.213412724,-0.801482351,-0.308764586,0.001052103,0.069276345,0.012574191,0.3869267,-0.682181855,-0.383720558,-0.001272699,0.138552804,0.015607726,-1.152327053,-1.056094505,-0.080672476,0.011397737,-0.207829185
59,0.000148303,-0.942209856,-0.779436737,-0.273354495,0.000336445,4.19E-13,-0.007284567,-0.820822577,-0.940051968,-0.259989321,0.001580417,-0.034638177,0.008401663,0.230328535,-0.798766781,-0.309539587,0.001052116,0.069276346,0.017320076,0.330122427,-0.691559931,-0.376840813,-0.001015608,0.138552804,-0.002698662,-1.223949631,-1.08609842,-0.09823322,0.009826009,-0.207829191
60,0.000148926,-0.942019233,-0.782862686,-0.273353232,0.000338011,4.18E-13,-0.006943281,-0.810354566,-0.938592009,-0.259734886,0.001643589,-0.034638176,0.008606289,0.243108721,-0.796650939,-0.310120182,0.001052676,0.069276347,0.024325386,0.263024536,-0.700244315,-0.368965594,-0.000727953,0.138552806,-0.020500253,-1.280131073,-1.104891243,-0.111515102,0.008605245,-0.207829202
61,0.000149542,-0.941803203,-0.786256663,-0.273351965,0.000339577,4.18E-13,-0.006539386,-0.797567398,-0.936774889,-0.259424747,0.001720655,-0.034638176,0.008767025,0.25180389,-0.795179334,-0.310512688,0.00105334,0.069276347,0.034110416,0.186195634,-0.706838537,-0.360347411,-0.000426531,0.13855281,-0.036119564,-1.322776881,-1.115785932,-0.1211878,0.007693581,-0.207829214
62,0.000150151,-0.941561667,-0.789618501,-0.273350696,0.000341143,4.18E-13,-0.006080211,-0.782444461,-0.934578241,-0.259058946,0.001811655,-0.034638175,0.008860072,0.256450115,-0.794382228,-0.310721569,0.001053792,0.069276347,0.047099399,0.100444666,-0.709683477,-0.351333876,-0.000135963,0.138552818,-0.048600203,-1.353616077,-1.121505377,-0.12789418,0.007046896,-0.207829225
63,0.000150754,-0.941294525,-0.792948037,-0.273349423,0.000342709,4.17E-13,-0.005574609,-0.764967741,-0.931975803,-0.25863762,0.001916625,-0.034638174,-2.62E-17,0.058764751,-0.79449649,-0.272950071,0.003654285,0,0.017445768,-0.868209815,-0.998822693,-0.135876846,0.009034393,-0.13855279,-0.057452136,-1.374071105,-1.124140465,-0.132178215,0.006625829,-0.207829235
64,0.000151351,-0.941001678,-0.796245109,-0.273348147,0.000344275,4.17E-13,-0.005033037,-0.745118601,-0.928937479,-0.25816104,0.002035596,-0.034638174,-2.62E-17,0.058764751,-0.79449649,-0.272950071,0.003654285,0,0.00811953,-0.939539319,-1.0230959,-0.147316646,0.007927577,-0.138552791,-0.062455875,-1.385174376,-1.125138959,-0.134440266,0.006400468,-0.20782924
65,0.000151941,-0.940683028,-0.799509556,-0.273346868,0.000345841,4.16E-13,-0.004467635,-0.722878692,-0.925429414,-0.257629662,0.002168586,-0.034638173,-2.62E-17,0.058764751,-0.79449649,-0.272950071,0.003654285,0,-0.001892334,-0.99933979,-1.039057711,-0.156633879,0.007000515,-0.138552794,-7.93E-18,-0.74156149,-0.914230021,-0.273301665,0.000464278,0
66,0.000152524,-0.940338481,-0.802741219,-0.273345586,0.000347406,4.16E-13,-0.003892305,-0.698230979,-0.921414082,-0.257044177,0.002315593,-0.034638172,-2.62E-17,0.058764751,-0.79449649,-0.272950071,0.003654285,0,-0.011660195,-1.048606374,-1.048709595,-0.164049309,0.006241569,-0.1385528,-7.93E-18,-0.74156149,-0.914230021,-0.273301665,0.000464278,0
