TimeStamp,W01,W02,W03,W1_0,W1_1,W1_2,W1_3,W1_4,W1_5,W2_0,W2_1,W2_2,W2_3,W2_4,W2_5,W3_0,W3_1,W3_2,W3_3,W3_4,W3_5
28,-0.292537838,-0.304169476,-0.277637601,-0.292537838,0.741386473,1.212621808,0.952468932,-0.423181325,-0.147203207,-0.304169476,0.911131859,1.477909327,1.34929812,-0.520375848,-0.148185045,-0.277637601,1.124853253,1.675724506,1.685320258,-0.747715175,-0.158803329
29,-0.342123508,-0.261182338,-0.311921,-0.342123508,0.820324957,1.19794488,0.985147774,-0.408469379,-0.167702377,-0.261182338,0.870504141,1.421514511,1.257926345,-0.561724961,-0.15650326,-0.311921,1.086783171,1.635893941,1.606602192,-0.824724972,-0.139828101
30,-0.290525973,-0.317637205,-0.219392538,-0.290525973,0.795978367,1.194501996,1.00917995,-0.372366756,-0.155173123,-0.317637205,0.933806241,1.394106865,1.288489103,-0.505020261,-0.128527731,-0.219392538,1.057938457,1.632699728,1.648547411,-0.72743696,-0.124972828
31,-0.268331826,-0.265858084,-0.232127458,-0.268331826,0.787038147,1.224919558,1.036141872,-0.388340235,-0.158367813,-0.265858084,0.949970245,1.440771937,1.301892042,-0.497751057,-0.130908668,-0.232127458,1.115667939,1.594962597,1.642863512,-0.70706135,-0.129940495
32,-0.269788235,-0.230621174,-0.321205616,-0.269788235,0.814492762,1.235458016,1.040276527,-0.417047709,-0.172537282,-0.230621174,0.908328235,1.421990633,1.337333441,-0.518460155,-0.142366067,-0.321205616,1.060881019,1.565321803,1.702186346,-0.701853156,-0.139649048
33,-0.288969159,-0.306982487,-0.329984576,-0.288969159,0.811868012,1.195175886,1.042858481,-0.37262854,-0.17963995,-0.306982487,0.944508553,1.443547249,1.304532051,-0.530125082,-0.141357377,-0.329984576,1.050053477,1.588929772,1.684675932,-0.686713398,-0.153178945
34,-0.262071431,-0.281985879,-0.215569079,-0.262071431,0.786045194,1.222193718,1.034175992,-0.369564325,-0.187014475,-0.281985879,0.972522199,1.389828444,1.334994674,-0.507303596,-0.156738907,-0.215569079,1.050884128,1.670669675,1.717228293,-0.731525004,-0.177364439
35,-0.303375065,-0.285917342,-0.260421932,-0.303375065,0.77474153,1.153148651,1.011458874,-0.413955837,-0.179129466,-0.285917342,0.931218028,1.368132234,1.348234415,-0.516014934,-0.166132376,-0.260421932,1.05377996,1.59589231,1.732130885,-0.738603592,-0.178138316
36,-0.255425006,-0.273780078,-0.259664297,-0.255425006,0.733412325,1.144336581,0.962733328,-0.446581334,-0.091758661,-0.273780078,0.900200844,1.359441161,1.344051242,-0.538238823,-0.172201887,-0.259664297,1.055052161,1.660336971,1.701069832,-0.754314244,-0.180048689
37,-0.275087386,-0.302799344,-0.188436121,-0.275087386,0.719049573,1.141264796,0.995276034,-0.395940125,-0.077762552,-0.302799344,0.895914495,1.357600689,1.273167849,-0.561830401,-0.10837011,-0.188436121,1.043180466,1.670688272,1.707999825,-0.70357269,-0.170914337
